After sorting
A D X Y 
0 0 0 0
4 2 28 2
21 2 26 10
26 18 20 10
30 18 34 20
34 10 26 18
36 9 30 22
36 17 8 6
47 10 24 26
51 2 16 20
54 4 30 42
55 5 14 20
61 16 16 30
63 24 24 48
69 4 24 64
72 4 10 32
72 9 20 64
74 2 8 28
74 20 16 58
75 23 24 90
78 16 8 38
83 8 10 86
84 20 8 82
86 18 4 70
89 19 0 6
91 21 -2 78
97 15 -12 88
97 36 -10 80
100 8 -12 62
101 23 -18 88
105 3 -16 56
109 19 -12 34
113 23 -8 18
114 6 -40 88
117 19 -40 78
118 17 -42 78
122 2 -20 32
123 19 -52 80
126 13 -48 64
126 13 -38 52
127 13 -60 78
128 12 -44 56
129 23 -40 48
130 9 -44 52
147 12 -60 38
149 9 -10 6
149 14 -54 32
152 6 -46 24
153 5 -56 28
163 3 -46 14
165 2 -30 8
172 22 -60 8
177 15 -54 2
189 7 -12 -2


CLUSTER 1
A D X Y 
0 0 0 0
47 10 24 26
51 2 16 20
54 4 30 42
55 5 14 20
61 16 16 30
63 24 24 48
69 4 24 64
72 4 10 32
72 9 20 64
74 2 8 28
74 20 16 58


CLUSTER 2
A D X Y 
0 0 0 0
75 23 24 90
78 16 8 38
83 8 10 86
84 20 8 82
86 18 4 70


CLUSTER 3
A D X Y 
0 0 0 0
89 19 0 6
91 21 -2 78
97 15 -12 88
97 36 -10 80
100 8 -12 62


CLUSTER 4
A D X Y 
0 0 0 0
101 23 -18 88
105 3 -16 56
109 19 -12 34
113 23 -8 18
114 6 -40 88
117 19 -40 78


CLUSTER 5
A D X Y 
0 0 0 0
118 17 -42 78
122 2 -20 32
123 19 -52 80
126 13 -48 64
126 13 -38 52
127 13 -60 78
128 12 -44 56


CLUSTER 6
A D X Y 
0 0 0 0
129 23 -40 48
130 9 -44 52
147 12 -60 38
149 9 -10 6
149 14 -54 32
152 6 -46 24
153 5 -56 28
163 3 -46 14
165 2 -30 8


CLUSTER 7
A D X Y 
0 0 0 0
172 22 -60 8
177 15 -54 2
189 7 -12 -2
4 2 28 2
21 2 26 10
26 18 20 10
30 18 34 20
34 10 26 18


CLUSTER 8
A D X Y 
0 0 0 0
36 9 30 22
36 17 8 6


Distance for  Cluster 1

12
0 35.3836 25.6125 51.614 24.4131 34 53.6656 68.352 33.5261 67.0522 29.1204 60.1664 
35.3836 0 10 17.088 11.6619 8.94427 22 38 15.2315 38.2099 16.1245 32.9848 
25.6125 10 0 26.0768 2 10 29.1204 44.7214 13.4164 44.1814 11.3137 38 
51.614 17.088 26.0768 0 27.2029 18.4391 8.48528 22.8035 22.3607 24.1661 26.0768 21.2603 
24.4131 11.6619 2 27.2029 0 10.198 29.7321 45.1221 12.6491 44.4072 10 38.0526 
34 8.94427 10 18.4391 10.198 0 19.6977 34.9285 6.32456 34.2345 8.24621 28 
53.6656 22 29.1204 8.48528 29.7321 19.6977 0 16 21.2603 16.4924 25.6125 12.8062 
68.352 38 44.7214 22.8035 45.1221 34.9285 16 0 34.9285 4 39.3954 10 
33.5261 15.2315 13.4164 22.3607 12.6491 6.32456 21.2603 34.9285 0 33.5261 4.47214 26.6833 
67.0522 38.2099 44.1814 24.1661 44.4072 34.2345 16.4924 4 33.5261 0 37.9473 7.2111 
29.1204 16.1245 11.3137 26.0768 10 8.24621 25.6125 39.3954 4.47214 37.9473 0 31.0483 
60.1664 32.9848 38 21.2603 38.0526 28 12.8062 10 26.6833 7.2111 31.0483 0 


Distance for  Cluster 2

6
0 93.1451 38.833 86.5794 82.3893 70.1142 
93.1451 0 54.4059 14.5602 17.8885 28.2843 
38.833 54.4059 0 48.0416 44 32.249 
86.5794 14.5602 48.0416 0 4.47214 17.088 
82.3893 17.8885 44 4.47214 0 12.6491 
70.1142 28.2843 32.249 17.088 12.6491 0 


Distance for  Cluster 3

6
