After sorting
A D X Y 
0 0 0 0
2 12 39 2
7 5 38 5
10 7 22 4
11 10 59 12
23 19 48 21
23 21 61 26
24 7 60 27
36 12 38 28
43 20 15 14
46 22 24 25
47 17 29 32
47 23 11 12
53 15 24 33
55 11 22 32
68 10 14 35
101 11 -6 29
126 4 -11 15
145 21 -22 15
184 14 -27 -2
188 15 -27 -4
201 19 -25 -10
202 17 -31 -13
209 10 -26 -15
213 11 -23 -15
220 15 -15 -13
221 25 -20 -18
225 7 -22 -22
228 24 -21 -24
234 12 -17 -24
235 18 -35 -50
237 12 -26 -41
243 2 -3 -6
253 14 -15 -50
253 36 -15 -50
278 11 5 -34
281 13 5 -25
282 3 13 -58
283 11 10 -42
285 16 5 -18
288 6 21 -62
289 22 5 -14
290 18 21 -57
298 22 11 -20
304 7 33 -48
306 10 6 -8
307 13 45 -58
318 20 54 -47
319 24 61 -53
320 25 52 -43
329 10 48 -28
337 20 45 -19
339 66 53 -20
343 3 58 -17
356 21 30 -2


CLUSTER 1
A D X Y 
0 0 0 0
46 22 24 25
47 17 29 32
47 23 11 12
53 15 24 33
55 11 22 32
68 10 14 35


CLUSTER 2
A D X Y 
0 0 0 0
101 11 -6 29
126 4 -11 15
145 21 -22 15
184 14 -27 -2
188 15 -27 -4
201 19 -25 -10


CLUSTER 3
A D X Y 
0 0 0 0
202 17 -31 -13
209 10 -26 -15
213 11 -23 -15
220 15 -15 -13
221 25 -20 -18
225 7 -22 -22


CLUSTER 4
A D X Y 
0 0 0 0
228 24 -21 -24
234 12 -17 -24
235 18 -35 -50
237 12 -26 -41
243 2 -3 -6
253 14 -15 -50


CLUSTER 5
A D X Y 
0 0 0 0
253 36 -15 -50
278 11 5 -34
281 13 5 -25
282 3 13 -58
283 11 10 -42
285 16 5 -18
288 6 21 -62


CLUSTER 6
A D X Y 
0 0 0 0
289 22 5 -14
290 18 21 -57
298 22 11 -20
304 7 33 -48
306 10 6 -8
307 13 45 -58


CLUSTER 7
A D X Y 
0 0 0 0
318 20 54 -47
319 24 61 -53
320 25 52 -43
329 10 48 -28
337 20 45 -19


CLUSTER 8
A D X Y 
0 0 0 0
339 66 53 -20
343 3 58 -17
356 21 30 -2


CLUSTER 9
A D X Y 
2 12 39 2
7 5 38 5
10 7 22 4
11 10 59 12
23 19 48 21
23 21 61 26
24 7 60 27
36 12 38 28


CLUSTER 10
A D X Y 
0 0 0 0
43 20 15 14


Distance for  Cluster 1

7
0 34.6554 43.1856 16.2788 40.8044 38.833 37.6962 
34.6554 0 8.60233 18.3848 8 7.28011 14.1421 
43.1856 8.60233 0 26.9072 5.09902 7 15.2971 
16.2788 18.3848 26.9072 0 24.6982 22.8254 23.1948 
40.8044 8 5.09902 24.6982 0 2.23607 10.198 
38.833 7.28011 7 22.8254 2.23607 0 8.544 
37.6962 14.1421 15.2971 23.1948 10.198 8.544 0 


Distance for  Cluster 2

7
0 29.6142 18.6011 26.6271 27.074 27.2947 26.9258 
29.6142 0 14.8661 21.2603 37.4433 39.1152 43.382 
18.6011 14.8661 0 11 23.3452 24.8395 28.6531 
26.6271 21.2603 11 0 17.72 19.6469 25.1794 
27.074 37.4433 23.3452 17.72 0 2 8.24621 
27.2947 39.1152 24.8395 19.6469 2 0 6.32456 
26.9258 43.382 28.6531 25.1794 8.24621 6.32456 0 


Distance for  Cluster 3

7
0 33.6155 30.0167 27.4591 19.8494 26.9072 31.1127 
33.6155 0 5.38516 8.24621 16 12.083 12.7279 
30.0167 5.38516 0 3 11.1803 6.7082 8.06226 
27.4591 8.24621 3 0 8.24621 4.24264 7.07107 
19.8494 16 11.1803 8.24621 0 7.07107 11.4018 
26.9072 12.083 6.7082 4.24264 7.07107 0 4.47214 
31.1127 12.7279 8.06226 7.07107 11.4018 4.47214 0 


Distance for  Cluster 4

7
0 31.8904 29.4109 61.0328 48.5489 6.7082 52.2015 
31.8904 0 4 29.5296 17.72 25.4558 26.6833 
29.4109 4 0 31.6228 19.2354 22.8035 26.0768 
61.0328 29.5296 31.6228 0 12.7279 54.4059 20 
48.5489 17.72 19.2354 12.7279 0 41.8808 14.2127 
6.7082 25.4558 22.8035 54.4059 41.8808 0 45.607 
52.2015 26.6833 26.0768 20 14.2127 45.607 0 


Distance for  Cluster 5

8
0 52.2015 34.3657 25.4951 59.439 43.1741 18.6815 65.4599 
52.2015 0 25.6125 32.0156 29.1204 26.2488 37.7359 37.9473 
34.3657 25.6125 0 9 25.2982 9.43398 16 32.249 
25.4951 32.0156 9 0 33.9559 17.72 7 40.3113 
59.439 29.1204 25.2982 33.9559 0 16.2788 40.7922 8.94427 
43.1741 26.2488 9.43398 17.72 16.2788 0 24.5153 22.8254 
18.6815 37.7359 16 7 40.7922 24.5153 0 46.8188 
65.4599 37.9473 32.249 40.3113 8.94427 22.8254 46.8188 0 


Distance for  Cluster 6

7
0 14.8661 60.7454 22.8254 58.2495 10 73.4098 
14.8661 0 45.8803 8.48528 44.0454 6.08276 59.4643 
60.7454 45.8803 0 38.3275 15 51.2445 24.0208 
22.8254 8.48528 38.3275 0 35.609 13 50.9902 
